name,VP7,VP4,VP6,VP1,VP2,VP3,NSP1,NSP2,NSP3,NSP4,NSP5
RVA/Human-wt/USA/VU11-12-194/2012/G12P[8],KT919012,KT919010,KT919011,KT919007,KT919008,KT919009,KT919002,KT919003,KT919004,KT919005,KT919006
RVA/Human-wt/USA/VU12-13-139/2013/G12P[8],KT918979,KT918977,KT918978,KT918974,KT918975,KT918976,KT918969,KT918970,KT918971,KT918972,KT918973
RVA/Human-wt/USA/VU11-12-62/2012/G12P[8],KT918616,KT918614,KT918615,KT918611,KT918612,KT918613,KT918606,KT918607,KT918608,KT918609,KT918610
RVA/Human-wt/USA/VU12-13-100/2013/G12P[8],KT918484,KT918482,KT918483,KT918479,KT918480,KT918481,KT918474,KT918475,KT918476,KT918477,KT918478
RVA/Human-wt/USA/VU12-13-11/2013/G12P[8],KT918990,KT918988,KT918989,KT918985,KT918986,KT918987,KT918980,KT918981,KT918982,KT918983,KT918984
RVA/Human-wt/USA/VU12-13-12/2013/G12P[8],KT919783,KT919781,KT919782,KT919778,KT919779,KT919780,KT919773,KT919774,KT919775,KT919776,KT919777
RVA/Human-wt/USA/VU12-13-129/2013/G12P[8],KT919937,KT919935,KT919936,KT919932,KT919933,KT919934,KT919927,KT919928,KT919929,KT919930,KT919931
RVA/Human-wt/USA/VU12-13-134/2013/G12P[8],KT919882,KT919880,KT919881,KT919877,KT919878,KT919879,KT919872,KT919873,KT919874,KT919875,KT919876
RVA/Human-wt/USA/VU12-13-18/2013/G12P[8],KT919430,KT919428,KT919429,KT919425,KT919426,KT919427,KT919420,KT919421,KT919422,KT919423,KT919424
RVA/Human-wt/USA/VU12-13-20/2013/G12P[8],KT918572,KT918570,KT918571,KT918567,KT918568,KT918569,KT918562,KT918563,KT918564,KT918565,KT918566
RVA/Human-wt/USA/VU12-13-205/2013/G12P[8],KT918858,KT918856,KT918857,KT918853,KT918854,KT918855,KT918848,KT918849,KT918850,KT918851,KT918852
RVA/Human-wt/USA/VU12-13-25/2013/G12P[8],KT918594,KT918592,KT918593,KT918589,KT918590,KT918591,KT918584,KT918585,KT918586,KT918587,KT918588
RVA/Human-wt/USA/VU12-13-38/2013/G12P[8],KT918825,KT918823,KT918824,KT918820,KT918821,KT918822,KT918815,KT918816,KT918817,KT918818,KT918819
RVA/Human-wt/USA/VU12-13-75/2012/G12P[8],KT918495,KT918493,KT918494,KT918490,KT918491,KT918492,KT918485,KT918486,KT918487,KT918488,KT918489
RVA/Human-wt/USA/VU12-13-87/2013/G12P[8],KT919684,KT919682,KT919683,KT919679,KT919680,KT919681,KT919674,KT919675,KT919676,KT919677,KT919678
RVA/Human-wt/USA/VU12-13-93/2013/G12P[8],KT919761,KT919759,KT919760,KT919756,KT919757,KT919758,KT919751,KT919752,KT919753,KT919754,KT919755
RVA/Human-wt/USA/VU12-13-150/2013/G12P[8],KT919243,KT919241,KT919242,KT919238,KT919239,KT919240,KT919233,KT919234,KT919235,KT919236,KT919237
RVA/Human-wt/USA/VU12-13-112/2013/G12P[8],KT919265,KT919263,KT919264,KT919260,KT919261,KT919262,KT919255,KT919256,KT919257,KT919258,KT919259
RVA/Human-wt/USA/VU12-13-123/2013/G12P[8],KT918814,KT918812,KT918813,KT918809,KT918810,KT918811,KT918804,KT918805,KT918806,KT918807,KT918808
RVA/Human-wt/USA/VU11-12-195/2012/G12P[8],KT919023,KT919021,KT919022,KT919018,KT919019,KT919020,KT919013,KT919014,KT919015,KT919016,KT919017
RVA/Human-wt/USA/VU12-13-10/2013/G12P[8],KT919673,KT919671,KT919672,KT919668,KT919669,KT919670,KT919663,KT919664,KT919665,KT919666,KT919667
RVA/Human-wt/USA/VU12-13-108/2013/G12P[8],KT919970,KT919968,KT919969,KT919965,KT919966,KT919967,KT919960,KT919961,KT919962,KT919963,KT919964
RVA/Human-wt/USA/VU12-13-117/2013/G12P[8],KT918682,KT918680,KT918681,KT918677,KT918678,KT918679,KT918672,KT918673,KT918674,KT918675,KT918676
RVA/Human-wt/USA/VU12-13-128/2013/G12P[8],KT918704,KT918702,KT918703,KT918699,KT918700,KT918701,KT918694,KT918695,KT918696,KT918697,KT918698
